julianHr,MSky,MIllm,TIllm,tempc1,windmps1,rainmm1,vism1
430505,,,,-0.824937296211612,-0.20065114086006,1.31360678679344,-2.5579721480205
430506,,,,-0.673906439447726,-0.0157600865744851,0.903143016383384,-2.57838722644636
430507,,,,-0.604553770101235,-0.0474403406349629,0.785242557722928,-2.29499145630996
430508,,,,-0.689448170436371,-0.221765416147926,0.868031371730348,-2.79292368183131
430509,,,,-0.664104851300011,-0.407187693294912,1.01605606662463,-2.76081214045749
430510,,,,-0.727538194037919,-0.49868195774879,1.07526527024981,-3.49141230003178
430511,,,,-0.851370160345506,-0.657611556157828,0.894129147622106,-3.01590349209274
430512,,,,-0.907052666978512,-1.08976990817755,1.388400634733,-4.00708005302589
430513,,,,-0.938695890406339,-0.614092328079994,1.5713730049574,-3.99154355850435
430514,,,,-0.950517190118975,-0.481153856424217,1.21475030890431,-3.04538308746461
430515,,,,-1.0236535200529,-0.241618199024467,0.322966853028685,-0.846142948638768
430516,,,,-1.13948889171443,-0.572560431463157,0.139886028363038,-0.277789666901871
430517,,,,-1.09201750578411,0.203549876095487,0.0311778111018795,0.0196993115595066
430518,,,,-1.10720150563431,1.00025653910047,-0.0292804620121469,-0.0212759649721393
430519,,,,-1.20358297435271,0.702979738544654,0.152825144535739,-0.541163585559669
430520,,,,-1.2497808446045,1.38279910128336,0.181236146109907,-0.663391410349978
430521,,,,-1.47443385125432,0.695087628181959,-0.0392326870816683,-0.0411426393248071
430522,,,,-1.49368339589796,0.705078821482567,0.0568404677342611,-0.29386432520342
430523,,,,-1.49147518349659,0.44094786749174,0.101803247127623,-0.439411268553895
430524,,,,-1.48382112195127,0.427815040120246,0.43251218414453,-1.25848485574967
430525,,,,-1.43254009445698,0.637133632308184,0.16355925194816,-0.530108734218182
430526,,,,-1.39802594826206,0.884767560325809,0.693774399455167,-1.91562433107468
430527,,,,-1.32423340969536,0.629228273562614,1.22048117276414,-3.24278671776655
430528,,,,-1.24355971234088,0.645908060139257,1.08029096272075,-2.99051437209914
430529,,,,-1.1216992148495,1.13862390534176,1.13518903173638,-3.15977026212635
430530,,,,-0.988658230708669,1.73688560442887,1.01093711420239,-2.82241345257234
430531,,,,-0.963515366094832,1.58120367690185,0.60123243099243,-2.09018218690931
430532,,,,-0.910929449058685,1.94445523430587,0.994151951703688,-2.85190691384133
430533,,,,-0.904027193415795,1.93855547055445,0.985524472891974,-2.82676291017123
430534,,,,-0.844716241904986,2.40166185636625,0.834334180934238,-2.40955610581052
430535,,,,-0.877410772991912,2.20532629488947,0.865078871895982,-2.55014498571385
430536,,,,-0.91518901834378,1.89910207444173,1.27377853230495,-3.44036030905937
430537,,,,-0.891235215387399,1.87941654879805,0.847723075816176,-2.34296752044525
430538,,,,-0.917054603969057,1.5171334368249,0.714422691601578,-1.90087838891465
430539,,,,-0.951869119940918,1.36454443442252,0.498097830935718,-1.43576454814083
430540,,,,-0.961049486945053,1.11162946610646,0.735113785267681,-2.08039415638369
430541,,,,-1.04598106897642,0.437841460750403,0.178950158116776,-0.483890158962742
430542,,,,-0.941105929150451,1.19487906060482,0.279344914570607,-0.801428659510615
430543,,,,-0.991160617974908,0.633005162589049,0.122934270855859,-0.44849543508344
430544,,,,-0.989859484779677,1.17367140055243,0.188832227366443,-0.695359310980884
430545,,,,-1.02415888544824,0.546424416330633,0.143854003508271,-0.460359742368993
430546,,,,-0.977187436152646,0.835073221219563,0.0257488174108506,-0.126678156059051
430547,,,,-0.98511925298216,0.997068679398584,-0.0261554584102846,-0.053452979564392
430548,,,,-1.03897459349911,1.39058089145917,0.130475443831853,-0.521175573677587
430549,,,,-1.11203301715909,0.992000387066696,-0.0543264410244902,-0.0421134469856194
430550,,,,-1.0397461031993,1.37313190456031,-0.0754872678515663,-0.0267330108390718
430551,,,,-0.942932047089728,1.40950770309706,-0.0769512658626092,-0.060605919712383
430552,,,,-0.838108780335348,1.63517327626363,-0.0901742519866446,-0.038255001007732
430553,,,,-0.621946531234727,1.35242497839279,-0.155575178083628,0.11869465402877
430554,,,,-0.554937730334989,1.57410909600771,-0.175396659820787,0.203992369249176
430555,,,,-0.419119187032351,2.30891304274996,-0.142824184602354,0.159089760174137
430556,,,,-0.36792433521507,2.66026084995689,-0.289979711323598,0.422784103236898
430557,,,,-0.370470132197187,2.59229419320989,-0.281792090443399,0.37376392466281
430558,,,,-0.422213060218867,2.14193116061793,-0.271634690006762,0.395940881628018
430559,,,,-0.529633448542939,1.5734922564447,-0.251559385481354,0.388031561832802
430560,,,,-0.563109032567205,1.61631638212411,-0.26532504727277,0.424820143167159
430561,,,,-0.690959494551143,0.943751191101735,-0.260280878556317,0.43796990688993
430562,,,,-0.660056073460818,1.29694632211231,-0.260661456658246,0.421080210676346
430563,,,,-0.644911644303009,1.64013888057941,-0.267415914677911,0.381927176940644
430564,,,,-0.733831483037866,0.8289366859664,-0.236446213890406,0.410061556106811
430565,,,,-0.805604980495993,0.435530430079251,-0.11953928361051,0.0783334978465982
430566,,,,-0.836033352095065,0.170186201841841,0.156541599861405,-0.549370220968235
430567,,,,-0.879142961123872,-0.305639095593883,0.0523079071437624,-0.276275321331598
430568,,,,-0.76530648640056,0.907312223042139,1.11361015504025,-3.08758289719776
430569,,,,-0.738835102996015,0.874013842865915,1.10483064093825,-3.13938056306651
430570,,,,-0.697025597973164,1.20171130000592,1.27570063471296,-3.52651285328829
430571,,,,-0.67111816372141,1.46343177582234,1.1850721555596,-2.87521543861711
430572,,,,-0.710935943274374,0.894469289769144,0.576839567495455,-1.36906540513011
430573,,,,-0.691963397943504,0.214378677911883,1.07646273538698,-3.39301346383089
430574,,,,-0.577803184191695,1.12738682902765,1.04938522712562,-3.00425145127939
430575,,,,-0.517456056966201,1.05380445839772,1.27256457977995,-3.55839218997088
430576,,,,-0.547787230141768,0.628420498183212,1.32283072960967,-3.65779527949983
430577,,,,-0.453312285521871,1.0711982360831,1.60595250323155,-4.08271069948197
430578,,,,-0.428724033764889,1.11928258207888,1.51014576245969,-3.95759837113001
430579,,,,-0.428719387827553,0.785913969072511,1.38146563357025,-3.25815928613774
430580,,,,-0.382942550380606,0.868794578631338,1.41127682450642,-3.3320087518774
430581,,,,-0.318531216535808,1.39557728128297,1.41715736676831,-3.436063644668
430582,,,,-0.19656808294872,1.66488465602107,1.76550822218652,-4.08468346309177
430583,,,,-0.263157002661084,1.72960182440585,1.6847872136918,-4.0322042702197
430584,,,,-0.310235463502781,1.30290165566235,1.34106660890145,-2.93315507594995
430585,,,,-0.285472869536975,0.974046667670273,1.22874446460924,-2.89647181128153
430586,,,,-0.20898141900523,1.5260770747688,1.54124739040275,-3.6400434605771
430587,,,,-0.18317597704049,1.67736069269188,1.25413222820086,-2.91367745606605
430588,,,,-0.211773760376786,1.61730680270834,1.17820719668378,-2.62557292232191
430589,,,,-0.252210543726788,1.22055019586824,1.2123466042467,-2.36685489594496
430590,,,,-0.300027835751158,0.705013029139121,1.04942652098208,-2.3785237265738
430591,,,,-0.261898243397025,0.66435416136328,0.748584648589638,-1.88231880016649
430592,,,,-0.239004798466102,0.919854355603629,0.704897116626028,-1.87268474658237
430593,,,,-0.418849580663808,0.200343787844858,0.141961372985565,-0.336780238458189
430594,,,,-0.449393626101758,-0.0173327098933627,-0.0126833072280626,-0.065338878327325
430595,,,,-0.354133562448006,0.750017113603013,-0.305050255814454,0.154303660562077
